"District","FIPS","Year","Grade","Measure Type","Variable","Value"
"Achievement First Bridgeport Academy District","","2011-2012","Kindergarten","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2011-2012","Grade 1","Percent","Chronically Absent Students",0
"Achievement First Bridgeport Academy District","","2011-2012","Grade 2","Percent","Chronically Absent Students",-6666
"Achievement First Bridgeport Academy District","","2011-2012","Grade 3","Percent","Chronically Absent Students",-6666
"Achievement First Bridgeport Academy District","","2011-2012","Grade 4","Percent","Chronically Absent Students",-6666
"Achievement First Bridgeport Academy District","","2011-2012","Grade 5","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2011-2012","Grade 6","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2011-2012","Grade 7","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2011-2012","Grade 8","Percent","Chronically Absent Students",0
"Achievement First Bridgeport Academy District","","2011-2012","Grade 9","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2011-2012","Grade 10","Percent","Chronically Absent Students",-6666
"Achievement First Bridgeport Academy District","","2011-2012","Grade 11","Percent","Chronically Absent Students",-6666
"Achievement First Bridgeport Academy District","","2011-2012","Grade 12","Percent","Chronically Absent Students",-6666
"Achievement First Bridgeport Academy District","","2012-2013","Kindergarten","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2012-2013","Grade 1","Percent","Chronically Absent Students",0
"Achievement First Bridgeport Academy District","","2012-2013","Grade 2","Percent","Chronically Absent Students",0
"Achievement First Bridgeport Academy District","","2012-2013","Grade 3","Percent","Chronically Absent Students",-6666
"Achievement First Bridgeport Academy District","","2012-2013","Grade 4","Percent","Chronically Absent Students",-6666
"Achievement First Bridgeport Academy District","","2012-2013","Grade 5","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2012-2013","Grade 6","Percent","Chronically Absent Students",0
"Achievement First Bridgeport Academy District","","2012-2013","Grade 7","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2012-2013","Grade 8","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2012-2013","Grade 9","Percent","Chronically Absent Students",11.8
"Achievement First Bridgeport Academy District","","2012-2013","Grade 10","Percent","Chronically Absent Students",0
"Achievement First Bridgeport Academy District","","2012-2013","Grade 11","Percent","Chronically Absent Students",-6666
"Achievement First Bridgeport Academy District","","2012-2013","Grade 12","Percent","Chronically Absent Students",-6666
"Achievement First Bridgeport Academy District","","2013-2014","Kindergarten","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2013-2014","Grade 1","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2013-2014","Grade 2","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2013-2014","Grade 3","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2013-2014","Grade 4","Percent","Chronically Absent Students",-6666
"Achievement First Bridgeport Academy District","","2013-2014","Grade 5","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2013-2014","Grade 6","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2013-2014","Grade 7","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2013-2014","Grade 8","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2013-2014","Grade 9","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2013-2014","Grade 10","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2013-2014","Grade 11","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2013-2014","Grade 12","Percent","Chronically Absent Students",-6666
"Achievement First Bridgeport Academy District","","2014-2015","Kindergarten","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2014-2015","Grade 1","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2014-2015","Grade 2","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2014-2015","Grade 3","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2014-2015","Grade 4","Percent","Chronically Absent Students",0
"Achievement First Bridgeport Academy District","","2014-2015","Grade 5","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2014-2015","Grade 6","Percent","Chronically Absent Students",6.7
"Achievement First Bridgeport Academy District","","2014-2015","Grade 7","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2014-2015","Grade 8","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2014-2015","Grade 9","Percent","Chronically Absent Students",0
"Achievement First Bridgeport Academy District","","2014-2015","Grade 10","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2014-2015","Grade 11","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2014-2015","Grade 12","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2015-2016","Kindergarten","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2015-2016","Grade 1","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2015-2016","Grade 2","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2015-2016","Grade 3","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2015-2016","Grade 4","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2015-2016","Grade 5","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2015-2016","Grade 6","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2015-2016","Grade 7","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2015-2016","Grade 8","Percent","Chronically Absent Students",7.8
"Achievement First Bridgeport Academy District","","2015-2016","Grade 9","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2015-2016","Grade 10","Percent","Chronically Absent Students",14
"Achievement First Bridgeport Academy District","","2015-2016","Grade 11","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2015-2016","Grade 12","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2016-2017","Kindergarten","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2016-2017","Grade 1","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2016-2017","Grade 2","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2016-2017","Grade 3","Percent","Chronically Absent Students",0
"Achievement First Bridgeport Academy District","","2016-2017","Grade 4","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2016-2017","Grade 5","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2016-2017","Grade 6","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2016-2017","Grade 7","Percent","Chronically Absent Students",10.2
"Achievement First Bridgeport Academy District","","2016-2017","Grade 8","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2016-2017","Grade 9","Percent","Chronically Absent Students",17.9
"Achievement First Bridgeport Academy District","","2016-2017","Grade 10","Percent","Chronically Absent Students",17.9
"Achievement First Bridgeport Academy District","","2016-2017","Grade 11","Percent","Chronically Absent Students",16.2
"Achievement First Bridgeport Academy District","","2016-2017","Grade 12","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2017-2018","Kindergarten","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2017-2018","Grade 1","Percent","Chronically Absent Students",8.9
"Achievement First Bridgeport Academy District","","2017-2018","Grade 2","Percent","Chronically Absent Students",6.4
"Achievement First Bridgeport Academy District","","2017-2018","Grade 3","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2017-2018","Grade 4","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2017-2018","Grade 5","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2017-2018","Grade 6","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2017-2018","Grade 7","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2017-2018","Grade 8","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2017-2018","Grade 9","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2017-2018","Grade 10","Percent","Chronically Absent Students",18.5
"Achievement First Bridgeport Academy District","","2017-2018","Grade 11","Percent","Chronically Absent Students",13.2
"Achievement First Bridgeport Academy District","","2017-2018","Grade 12","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2018-2019","Kindergarten","Percent","Chronically Absent Students",7.7
"Achievement First Bridgeport Academy District","","2018-2019","Grade 1","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2018-2019","Grade 2","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2018-2019","Grade 3","Percent","Chronically Absent Students",6.7
"Achievement First Bridgeport Academy District","","2018-2019","Grade 4","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2018-2019","Grade 5","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2018-2019","Grade 6","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2018-2019","Grade 7","Percent","Chronically Absent Students",7.4
"Achievement First Bridgeport Academy District","","2018-2019","Grade 8","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2018-2019","Grade 9","Percent","Chronically Absent Students",13.3
"Achievement First Bridgeport Academy District","","2018-2019","Grade 10","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2018-2019","Grade 11","Percent","Chronically Absent Students",14.9
"Achievement First Bridgeport Academy District","","2018-2019","Grade 12","Percent","Chronically Absent Students",14.6
"Achievement First Bridgeport Academy District","","2019-2020","Kindergarten","Percent","Chronically Absent Students",11.8
"Achievement First Bridgeport Academy District","","2019-2020","Grade 1","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2019-2020","Grade 2","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2019-2020","Grade 3","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2019-2020","Grade 4","Percent","Chronically Absent Students",7.9
"Achievement First Bridgeport Academy District","","2019-2020","Grade 5","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2019-2020","Grade 6","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2019-2020","Grade 7","Percent","Chronically Absent Students",7.6
"Achievement First Bridgeport Academy District","","2019-2020","Grade 8","Percent","Chronically Absent Students",6.7
"Achievement First Bridgeport Academy District","","2019-2020","Grade 9","Percent","Chronically Absent Students",11.9
"Achievement First Bridgeport Academy District","","2019-2020","Grade 10","Percent","Chronically Absent Students",11.1
"Achievement First Bridgeport Academy District","","2019-2020","Grade 11","Percent","Chronically Absent Students",-9999
"Achievement First Bridgeport Academy District","","2019-2020","Grade 12","Percent","Chronically Absent Students",20.9
"Achievement First Hartford Academy District","","2011-2012","Kindergarten","Percent","Chronically Absent Students",-9999
"Achievement First Hartford Academy District","","2011-2012","Grade 1","Percent","Chronically Absent Students",10.1
"Achievement First Hartford Academy District","","2011-2012","Grade 2","Percent","Chronically Absent Students",-9999
"Achievement First Hartford Academy District","","2011-2012","Grade 3","Percent","Chronically Absent Students",-9999
"Achievement First Hartford Academy District","","2011-2012","Grade 4","Percent","Chronically Absent Students",-9999
"Achievement First Hartford Academy District","","2011-2012","Grade 5","Percent","Chronically Absent Students",9.5
"Achievement First Hartford Academy District","","2011-2012","Grade 6","Percent","Chronically Absent Students",6.7
"Achievement First Hartford Academy District","","2011-2012","Grade 7","Percent","Chronically Absent Students",16.9
