"Chronic Absenteeism, 2016-17"
"State of Connecticut, Grade"

"Organization","Grade","% Chronically Absent"
"State of Connecticut","Kindergarten",10.1
"State of Connecticut","Grade   1",7.6
"State of Connecticut","Grade   2",6.6
"State of Connecticut","Grade   3",6.1
"State of Connecticut","Grade   4",6.1
"State of Connecticut","Grade   5",6.3
"State of Connecticut","Grade   6",7.6
"State of Connecticut","Grade   7",8.9
"State of Connecticut","Grade   8",10.0
"State of Connecticut","Grade   9",12.6
"State of Connecticut","Grade 10",13.3
"State of Connecticut","Grade 11",14.3
"State of Connecticut","Grade 12",18.0

